username,results_limit,n_posts,avg_likes,volume
bywaviboy,150,150,3926.0285714285715,19581933
vinny_creative,143,143,13288.622377622378,28013478
sabrina_ramonov,91,91,5132.197802197802,3689796
starter_story,89,89,784.9325842696629,446461
chase.h.ai,87,87,1217.2988505747126,1849479
aitickerdaily,86,86,515.9069767441861,90917
ericosiu,84,84,36.285714285714285,151258
londonthefriend,84,84,754.952380952381,2117132
marc.kaz,84,84,4235.380952380952,878697
evolving.ai,83,83,27549.710843373494,22189650
angus.sewell,81,81,3822.1234567901233,374850
kerem.tech,81,81,1521.2222222222222,4590725
mrnotion.co,80,80,1018.325,115738
howtogofreelance,76,76,593.5394736842105,491161
zigzagprompts,63,63,5967.9047619047615,4185225
lukas.mullen,61,61,3535.098360655738,6254099
jason.yslai,60,60,546.9166666666666,1283223
steven.builds,60,60,948.1833333333333,2068581
ceozac,55,55,344.8181818181818,871124
stephgorton__,48,48,181.375,201402
bonesdesign.co,20,20,13.85,440
mk.ngu,20,20,91.95,56611
epicmotion,19,19,3.0,21990
holke79,19,19,656.578947368421,43069
digitalprocess,17,17,31.647058823529413,566
creation.visuals,16,16,62.875,44805
timfrey__,13,13,125.6923076923077,85301
cache_bunny,9,9,32863.11111111111,2968025
daniel.margu,9,9,1820.2222222222222,425468
electroformaint,9,9,431.1111111111111,13437
advanceddesign,6,6,1.1666666666666667,34
seth.fiilms,4,4,35.0,3950
zbake22,4,4,241.75,1026
beverlyhillsaerials,3,3,3970.3333333333335,423336
blakeandersonw,3,3,812.0,124483
byjackprice,3,3,2253.6666666666665,168179
cooper.simson,3,3,7587.666666666667,1445817
florian.darroman,3,3,2984.3333333333335,268584
githubsignals,3,3,930.6666666666666,139454
iamchrischung,3,3,1045.0,164482
itsdanktre,3,3,29.333333333333332,3411
jens.heitmann,3,3,13346.666666666666,1425132
personalbrandlaunch,3,3,9006.666666666666,975122
raycfu,3,3,17843.666666666668,2205911
seanwerbowskii,3,3,25685.0,2541561
sonderingemily,3,3,20706.333333333332,62304
sourcetms,3,3,7786.0,691053
steveofallstreets,3,3,83.33333333333333,13467
tenfoldmarc,3,3,13130.333333333334,1452140
_zuzudiary,2,2,1590.0,130244
adamdelduca,2,2,3793.0,418623
adrien.ninet,2,2,19534.5,422164
aiconsumer,2,2,0.0,1
alexandersgirbu,2,2,5315.5,525970
andrewwarner,2,2,452.0,79602
atlasberry008,2,2,918.5,47128
canam3wheel,2,2,2542.5,163368
charlieautomates,2,2,1251.0,376838
cjtrowbridge,2,2,2789.0,119759
crsnscott,2,2,2232.0,146968
daniel.margusov,2,2,3.0,86
design4me__,2,2,6042.5,274223
divyannshisharma,2,2,1108.5,3923
ethanjbothwell,2,2,13482.5,707562
